,model,dataset,date,mfp,mfm,pfp,pfm,s
0,LSTM,lightsource,188,0.12413486,0.016161988,0.10084536,0.015237898,0.7223955
1,LSTM,lightsource,205,0.13031091,0.018833257,0.105414994,0.0175706,0.71166116
2,LSTM,lightsource,211,0.12633984,0.01984197,0.102399446,0.018476339,0.7161422
3,LSTM,lightsource,232,0.133169,0.019287068,0.108006224,0.018135803,0.7109434
4,LSTM,lightsource,266,0.122793436,0.02190465,0.09973014,0.019965468,0.6995497
5,LSTM,lightsource,273,0.12593095,0.021632088,0.10145113,0.01974613,0.7048286
6,LSTM,lightsource,277,0.12630497,0.022631811,0.102384314,0.02001254,0.7078212
7,LSTM,lightsource,287,0.12334042,0.021611774,0.10022478,0.01944065,0.7159828
8,LSTM,lightsource,296,0.10654742,0.025731424,0.086337775,0.022770971,0.6825041
9,LSTM,lightsource,298,0.11668506,0.02433906,0.094453074,0.021338988,0.6948097
